"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"235","Japan","JP",2022-12-04,"TV",5,"SPY x FAMILY","SPY x FAMILY: Season 1",27
"236","Japan","JP",2022-12-04,"TV",6,"Summer Time Rendering","Summer Time Rendering: Season 1",3
"237","Japan","JP",2022-12-04,"TV",7,"Chainsaw Man","Chainsaw Man: Season 1",8
"238","Japan","JP",2022-12-04,"TV",8,"Ranking of Kings","Ranking of Kings: Season 1",1
"239","Japan","JP",2022-12-04,"TV",9,"Blue Lock","N/A",3
"240","Japan","JP",2022-12-04,"TV",10,"Saihara the Loan Shark","Saihara the Loan Shark: Season 1",9
"241","Japan","JP",2022-11-27,"Films",1,"The Violence Action","N/A",2
"242","Japan","JP",2022-11-27,"Films",2,"And So The Baton Is Passed","N/A",3
"243","Japan","JP",2022-11-27,"Films",3,"Slumberland","N/A",1
"244","Japan","JP",2022-11-27,"Films",4,"Weathering with You","N/A",3
"245","Japan","JP",2022-11-27,"Films",5,"Fortune Favors Lady Nikuko","N/A",3
"246","Japan","JP",2022-11-27,"Films",6,"The 47 Ronin in Debt","N/A",1
"247","Japan","JP",2022-11-27,"Films",7,"The Noel Diary","N/A",1
"248","Japan","JP",2022-11-27,"Films",8,"Falling for Christmas","N/A",2
"249","Japan","JP",2022-11-27,"Films",9,"We Made a Beautiful Bouquet","N/A",6
"250","Japan","JP",2022-11-27,"Films",10,"Your Name","N/A",4
"251","Japan","JP",2022-11-27,"TV",1,"First Love","First Love: Season 1",1
"252","Japan","JP",2022-11-27,"TV",2,"Summer Time Rendering","Summer Time Rendering: Season 1",2
"253","Japan","JP",2022-11-27,"TV",3,"Wednesday","Wednesday: Season 1",1
"254","Japan","JP",2022-11-27,"TV",4,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",6
"255","Japan","JP",2022-11-27,"TV",5,"SPY x FAMILY","SPY x FAMILY: Season 1",26
"256","Japan","JP",2022-11-27,"TV",6,"Chainsaw Man","Chainsaw Man: Season 1",7
"257","Japan","JP",2022-11-27,"TV",7,"Somebody","Somebody: Season 1",1
"258","Japan","JP",2022-11-27,"TV",8,"Another Miss Oh","Another Miss Oh: Season 1",1
"259","Japan","JP",2022-11-27,"TV",9,"My Absolute Boyfriend","My Absolute Boyfriend: Season 1",3
"260","Japan","JP",2022-11-27,"TV",10,"Saihara the Loan Shark","Saihara the Loan Shark: Season 1",8
"261","Japan","JP",2022-11-20,"Films",1,"And So The Baton Is Passed","N/A",2
"262","Japan","JP",2022-11-20,"Films",2,"The Violence Action","N/A",1
"263","Japan","JP",2022-11-20,"Films",3,"Weathering with You","N/A",2
"264","Japan","JP",2022-11-20,"Films",4,"The Mole Song: Undercover Agent Reiji","N/A",2
"265","Japan","JP",2022-11-20,"Films",5,"The Mole Song: Hong Kong Capriccio","N/A",1
"266","Japan","JP",2022-11-20,"Films",6,"Fortune Favors Lady Nikuko","N/A",2
"267","Japan","JP",2022-11-20,"Films",7,"Falling for Christmas","N/A",1
"268","Japan","JP",2022-11-20,"Films",8,"Scream","N/A",1
"269","Japan","JP",2022-11-20,"Films",9,"Enola Holmes 2","N/A",3
"270","Japan","JP",2022-11-20,"Films",10,"Tapestry","N/A",2
"271","Japan","JP",2022-11-20,"TV",1,"Summer Time Rendering","Summer Time Rendering: Season 1",1
"272","Japan","JP",2022-11-20,"TV",2,"SPY x FAMILY","SPY x FAMILY: Season 1",25
"273","Japan","JP",2022-11-20,"TV",3,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",5
"274","Japan","JP",2022-11-20,"TV",4,"Chainsaw Man","Chainsaw Man: Season 1",6
"275","Japan","JP",2022-11-20,"TV",5,"My Absolute Boyfriend","My Absolute Boyfriend: Season 1",2
"276","Japan","JP",2022-11-20,"TV",6,"Run for the Money","Run for the Money: Season 1",1
"277","Japan","JP",2022-11-20,"TV",7,"Saihara the Loan Shark","Saihara the Loan Shark: Season 1",7
"278","Japan","JP",2022-11-20,"TV",8,"Little Women","Little Women: Season 1",11
"279","Japan","JP",2022-11-20,"TV",9,"Extraordinary Attorney Woo","Extraordinary Attorney Woo: Season 1",20
"280","Japan","JP",2022-11-20,"TV",10,"Blue Lock","N/A",2
"281","Japan","JP",2022-11-13,"Films",1,"Weathering with You","N/A",1
"282","Japan","JP",2022-11-13,"Films",2,"Enola Holmes 2","N/A",2
"283","Japan","JP",2022-11-13,"Films",3,"Tapestry","N/A",1
"284","Japan","JP",2022-11-13,"Films",4,"And So The Baton Is Passed","N/A",1
"285","Japan","JP",2022-11-13,"Films",5,"The Legacy of Dr. Death: Black File","N/A",1
"286","Japan","JP",2022-11-13,"Films",6,"Your Name","N/A",3
"287","Japan","JP",2022-11-13,"Films",7,"The Mole Song: Undercover Agent Reiji","N/A",1
"288","Japan","JP",2022-11-13,"Films",8,"Enola Holmes","N/A",1
"289","Japan","JP",2022-11-13,"Films",9,"Fortune Favors Lady Nikuko","N/A",1
"290","Japan","JP",2022-11-13,"Films",10,"We Made a Beautiful Bouquet","N/A",5
"291","Japan","JP",2022-11-13,"TV",1,"SPY x FAMILY","SPY x FAMILY: Season 1",24
"292","Japan","JP",2022-11-13,"TV",2,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",4
"293","Japan","JP",2022-11-13,"TV",3,"Chainsaw Man","Chainsaw Man: Season 1",5
"294","Japan","JP",2022-11-13,"TV",4,"My Absolute Boyfriend","My Absolute Boyfriend: Season 1",1
"295","Japan","JP",2022-11-13,"TV",5,"Saihara the Loan Shark","Saihara the Loan Shark: Season 1",6
"296","Japan","JP",2022-11-13,"TV",6,"Little Women","Little Women: Season 1",10
