"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"138","South Korea","KR",2023-01-08,"TV",8,"I am Solo","I am Solo: Part 9 - Part 12",26
"139","South Korea","KR",2023-01-08,"TV",9,"The Interest of Love","The Interest of Love: Season 1",1
"140","South Korea","KR",2023-01-08,"TV",10,"Mr. Sunshine","Mr. Sunshine: Season 1",12
"141","South Korea","KR",2023-01-01,"Films",1,"Alienoid Part 1","N/A",1
"142","South Korea","KR",2023-01-01,"Films",2,"Decision to Leave","N/A",1
"143","South Korea","KR",2023-01-01,"Films",3,"Glass Onion: A Knives Out Mystery","N/A",2
"144","South Korea","KR",2023-01-01,"Films",4,"Bullet Train","N/A",2
"145","South Korea","KR",2023-01-01,"Films",5,"The Bad Guys: Reign of Chaos","N/A",1
"146","South Korea","KR",2023-01-01,"Films",6,"The Policeman's Lineage","N/A",1
"147","South Korea","KR",2023-01-01,"Films",7,"On the Line","N/A",1
"148","South Korea","KR",2023-01-01,"Films",8,"Broker","N/A",1
"149","South Korea","KR",2023-01-01,"Films",9,"Nothing Serious","N/A",1
"150","South Korea","KR",2023-01-01,"Films",10,"Roald Dahl's Matilda The Musical","N/A",1
"151","South Korea","KR",2023-01-01,"TV",1,"Reborn Rich","N/A",7
"152","South Korea","KR",2023-01-01,"TV",2,"The Glory","The Glory: Season 1",1
"153","South Korea","KR",2023-01-01,"TV",3,"Alchemy of Souls","Alchemy of Souls: Part 2",3
"154","South Korea","KR",2023-01-01,"TV",4,"Single’s Inferno","Single’s Inferno: Season 2",3
"155","South Korea","KR",2023-01-01,"TV",5,"Alchemy of Souls","Alchemy of Souls: Part 1",17
"156","South Korea","KR",2023-01-01,"TV",6,"I am Solo","I am Solo: Part 9 - Part 12",25
"157","South Korea","KR",2023-01-01,"TV",7,"Wednesday","Wednesday: Season 1",6
"158","South Korea","KR",2023-01-01,"TV",8,"Mr. Sunshine","Mr. Sunshine: Season 1",11
"159","South Korea","KR",2023-01-01,"TV",9,"Alice in Borderland","Alice in Borderland: Season 2",1
"160","South Korea","KR",2023-01-01,"TV",10,"Emily in Paris","Emily in Paris: Season 3",2
"161","South Korea","KR",2022-12-25,"Films",1,"Glass Onion: A Knives Out Mystery","N/A",1
"162","South Korea","KR",2022-12-25,"Films",2,"Hunt","N/A",3
"163","South Korea","KR",2022-12-25,"Films",3,"Hansan: Rising Dragon - REDUX","N/A",4
"164","South Korea","KR",2022-12-25,"Films",4,"The Big 4","N/A",2
"165","South Korea","KR",2022-12-25,"Films",5,"Jurassic World: Dominion","N/A",4
